stop_id,route_id,location_name,lat,lon,stop_type,priority,status,delay_reason,scheduled_date,time_window_start,time_window_end,service_duration_min,cargo_weight_kg,cargo_type,contact_person,notes
STP-2024029,RT-105,Kurla Sorting Center,19.05066,72.839542,Warehouse,Medium,On Time,,2024-03-15,2024-03-15 11:00,2024-03-15 13:00,30,1593,Pharmaceuticals,Priya Nair,
STP-2024030,RT-105,Dombivli Pickup Point,19.169026,73.097957,Rest,Medium,Delayed,Weather delay,2024-04-26,2024-04-26 07:30,2024-04-26 09:00,20,0,Pharmaceuticals,Priya Nair,
STP-2024031,RT-106,Pimpri Depot,18.660451,73.818386,Rest,High,On Time,,2024-03-03,2024-03-03 10:30,2024-03-03 13:00,20,0,Perishables,Anil Sharma,Parking available
STP-2024032,RT-106,Airoli Customs,19.177389,72.981718,Delivery,Medium,On Time,,2024-03-21,2024-03-21 12:00,2024-03-21 16:30,15,1437,Pharmaceuticals,Manish Gupta,Requires forklift
STP-2024033,RT-106,Kurla Sorting Center,19.022841,72.861291,Pickup,Low,On Time,,2024-04-06,2024-04-06 09:30,2024-04-06 13:30,10,890,Documents,Santosh Reddy,Parking available
STP-2024034,RT-106,Bhiwandi Mega Depot,19.311194,73.042119,Pickup,Medium,On Time,,2024-03-11,2024-03-11 14:00,2024-03-11 18:30,10,1686,Documents,Anil Sharma,High security zone
STP-2024035,RT-106,Mulund Cold Storage,19.185577,72.925344,Warehouse,High,On Time,,2024-03-31,2024-03-31 07:00,2024-03-31 09:30,30,1436,Auto Parts,Kavita Joshi,
STP-2024036,RT-107,Mulund Cold Storage,19.14752,72.990734,Delivery,Medium,On Time,,2024-03-15,2024-03-15 08:00,2024-03-15 11:30,15,944,FMCG,Kavita Joshi,Parking available
STP-2024037,RT-107,Uran Customs Terminal,18.917278,72.978786,Customs,Medium,On Time,,2024-03-29,2024-03-29 13:00,2024-03-29 17:30,60,0,Pharmaceuticals,Manish Gupta,
STP-2024038,RT-107,Kalyan Junction,19.198358,73.095583,Delivery,Medium,Scheduled,,2024-03-18,2024-03-18 11:30,2024-03-18 13:30,15,794,Perishables,Rajesh Singh,Temperature controlled
STP-2024039,RT-107,Bandra Client Office,19.08658,72.874106,Pickup,Medium,On Time,,2024-03-04,2024-03-04 14:00,2024-03-04 17:30,10,50,Documents,Santosh Reddy,
STP-2024040,RT-107,Pune Warehouse Central,18.513984,73.809602,Delivery,Medium,On Time,,2024-04-04,2024-04-04 13:00,2024-04-04 16:30,15,698,Perishables,Deepak Mehta,Requires forklift
STP-2024041,RT-108,Talegaon Distribution,18.769685,73.643773,Pickup,High,Delayed,Vehicle breakdown,2024-04-07,2024-04-07 07:00,2024-04-07 10:00,10,542,Auto Parts,Priya Nair,Temperature controlled
STP-2024042,RT-108,Bhiwandi Mega Depot,19.294931,73.083502,Delivery,Low,Scheduled,,2024-04-18,2024-04-18 13:30,2024-04-18 16:30,15,116,Pharmaceuticals,Anil Sharma,Gate closes at 17:00
STP-2024043,RT-108,Uran Customs Terminal,18.889456,72.906239,Rest,High,On Time,,2024-03-13,2024-03-13 07:00,2024-03-13 09:00,20,0,FMCG,Kavita Joshi,High security zone
STP-2024044,RT-108,Uran Customs Terminal,18.89968,72.985603,Pickup,Medium,Scheduled,,2024-03-20,2024-03-20 08:00,2024-03-20 10:00,10,778,Auto Parts,Anil Sharma,Gate closes at 17:00
STP-2024045,RT-108,Kharadi Hub,18.558093,73.897807,Meeting,Medium,Scheduled,,2024-04-19,2024-04-19 08:30,2024-04-19 12:00,45,0,Textiles,Deepak Mehta,Parking available
STP-2024046,RT-109,Bandra Client Office,19.055574,72.794799,Pickup,Medium,Delayed,Driver illness,2024-03-07,2024-03-07 13:30,2024-03-07 16:30,10,370,Perishables,Manish Gupta,High security zone
STP-2024047,RT-109,Pimpri Depot,18.662873,73.758366,Warehouse,Medium,Scheduled,,2024-03-28,2024-03-28 14:30,2024-03-28 17:30,30,1815,Auto Parts,Anil Sharma,
STP-2024048,RT-109,Kharadi Hub,18.536982,73.919535,Meeting,Medium,On Time,,2024-04-24,2024-04-24 07:30,2024-04-24 10:00,45,0,Pharmaceuticals,Santosh Reddy,High security zone
STP-2024049,RT-109,Hadapsar Export Unit,18.527961,73.94049,Delivery,Low,Delayed,Vehicle breakdown,2024-04-16,2024-04-16 08:30,2024-04-16 10:30,15,1015,Auto Parts,Ramesh Kumar,Gate closes at 17:00
STP-2024050,RT-109,Vikhroli Warehouse,19.10015,72.951094,Delivery,Medium,Delayed,Weather delay,2024-04-07,2024-04-07 11:30,2024-04-07 15:30,15,687,Pharmaceuticals,Kavita Joshi,High security zone
STP-2024051,RT-110,Vikhroli Warehouse,19.10602,72.948959,Delivery,High,On Time,,2024-03-08,2024-03-08 10:00,2024-03-08 13:00,15,1566,Textiles,Santosh Reddy,High security zone
STP-2024052,RT-110,Thane Depot,19.265729,72.983436,Warehouse,Medium,On Time,,2024-03-20,2024-03-20 12:00,2024-03-20 14:00,30,1438,FMCG,Kavita Joshi,Gate closes at 17:00
STP-2024053,RT-110,Nashik Depot,20.033672,73.751209,Delivery,Medium,On Time,,2024-03-22,2024-03-22 14:00,2024-03-22 17:00,15,143,Auto Parts,Kavita Joshi,Gate closes at 17:00
STP-2024054,RT-110,Kharadi Hub,18.577944,73.954332,Meeting,High,On Time,,2024-03-20,2024-03-20 09:00,2024-03-20 13:00,45,0,Documents,Santosh Reddy,Temperature controlled
STP-2024055,RT-110,Uran Customs Terminal,18.903063,72.968809,Pickup,Medium,Delayed,Traffic congestion,2024-04-25,2024-04-25 14:30,2024-04-25 17:30,10,1950,Documents,Anil Sharma,Temperature controlled
STP-2024056,RT-111,Powai Tech Park,19.136537,72.902991,Meeting,High,On Time,,2024-03-05,2024-03-05 09:00,2024-03-05 13:00,45,0,Electronics,Anil Sharma,High security zone
STP-2024057,RT-111,Badlapur Storage,19.158256,73.272163,Delivery,Low,On Time,,2024-03-15,2024-03-15 08:30,2024-03-15 12:00,15,1870,Pharmaceuticals,Rajesh Singh,Gate closes at 17:00
STP-2024058,RT-111,Andheri Distribution Hub,19.119647,72.84578,Delivery,Medium,Delayed,Weather delay,2024-03-08,2024-03-08 11:30,2024-03-08 14:30,15,174,Textiles,Ramesh Kumar,
STP-2024059,RT-111,Panvel Port Gate,19.015027,73.11455,Delivery,Medium,Delayed,Driver illness,2024-04-13,2024-04-13 08:00,2024-04-13 10:30,15,1344,Auto Parts,Vinod Yadav,Requires forklift
STP-2024060,RT-111,Kharadi Hub,18.51196,73.909782,Pickup,Low,On Time,,2024-03-23,2024-03-23 08:30,2024-03-23 11:30,10,853,Perishables,Kavita Joshi,High security zone
