stop_id,route_id,location_name,lat,lon,stop_type,priority,status,delay_reason,scheduled_date,time_window_start,time_window_end,service_duration_min,cargo_weight_kg,cargo_type,contact_person,notes
STP-2024029,RT-105,Kurla Sorting Center,19.05066,72.839542,Warehouse,Medium,On Time,,2024-03-15,2024-03-15 11:00,2024-03-15 13:00,30,1593,Pharmaceuticals,Priya Nair,
STP-2024030,RT-105,Dombivli Pickup Point,19.169026,73.097957,Rest,Medium,Delayed,Weather delay,2024-04-26,2024-04-26 07:30,2024-04-26 09:00,20,0,Pharmaceuticals,Priya Nair,
STP-2024031,RT-106,Pimpri Depot,18.660451,73.818386,Rest,High,On Time,,2024-03-03,2024-03-03 10:30,2024-03-03 13:00,20,0,Perishables,Anil Sharma,Parking available
STP-2024032,RT-106,Airoli Customs,19.177389,72.981718,Delivery,Medium,On Time,,2024-03-21,2024-03-21 12:00,2024-03-21 16:30,15,1437,Pharmaceuticals,Manish Gupta,Requires forklift
STP-2024033,RT-106,Kurla Sorting Center,19.022841,72.861291,Pickup,Low,On Time,,2024-04-06,2024-04-06 09:30,2024-04-06 13:30,10,890,Documents,Santosh Reddy,Parking available
STP-2024034,RT-106,Bhiwandi Mega Depot,19.311194,73.042119,Pickup,Medium,On Time,,2024-03-11,2024-03-11 14:00,2024-03-11 18:30,10,1686,Documents,Anil Sharma,High security zone
STP-2024035,RT-106,Mulund Cold Storage,19.185577,72.925344,Warehouse,High,On Time,,2024-03-31,2024-03-31 07:00,2024-03-31 09:30,30,1436,Auto Parts,Kavita Joshi,
STP-2024036,RT-107,Mulund Cold Storage,19.14752,72.990734,Delivery,Medium,On Time,,2024-03-15,2024-03-15 08:00,2024-03-15 11:30,15,944,FMCG,Kavita Joshi,Parking available
STP-2024037,RT-107,Uran Customs Terminal,18.917278,72.978786,Customs,Medium,On Time,,2024-03-29,2024-03-29 13:00,2024-03-29 17:30,60,0,Pharmaceuticals,Manish Gupta,
STP-2024038,RT-107,Kalyan Junction,19.198358,73.095583,Delivery,Medium,Scheduled,,2024-03-18,2024-03-18 11:30,2024-03-18 13:30,15,794,Perishables,Rajesh Singh,Temperature controlled
STP-2024039,RT-107,Bandra Client Office,19.08658,72.874106,Pickup,Medium,On Time,,2024-03-04,2024-03-04 14:00,2024-03-04 17:30,10,50,Documents,Santosh Reddy,
STP-2024040,RT-107,Pune Warehouse Central,18.513984,73.809602,Delivery,Medium,On Time,,2024-04-04,2024-04-04 13:00,2024-04-04 16:30,15,698,Perishables,Deepak Mehta,Requires forklift
STP-2024041,RT-108,Talegaon Distribution,18.769685,73.643773,Pickup,High,Delayed,Vehicle breakdown,2024-04-07,2024-04-07 07:00,2024-04-07 10:00,10,542,Auto Parts,Priya Nair,Temperature controlled
STP-2024042,RT-108,Bhiwandi Mega Depot,19.294931,73.083502,Delivery,Low,Scheduled,,2024-04-18,2024-04-18 13:30,2024-04-18 16:30,15,116,Pharmaceuticals,Anil Sharma,Gate closes at 17:00
STP-2024043,RT-108,Uran Customs Terminal,18.889456,72.906239,Rest,High,On Time,,2024-03-13,2024-03-13 07:00,2024-03-13 09:00,20,0,FMCG,Kavita Joshi,High security zone
STP-2024044,RT-108,Uran Customs Terminal,18.89968,72.985603,Pickup,Medium,Scheduled,,2024-03-20,2024-03-20 08:00,2024-03-20 10:00,10,778,Auto Parts,Anil Sharma,Gate closes at 17:00
STP-2024045,RT-108,Kharadi Hub,18.558093,73.897807,Meeting,Medium,Scheduled,,2024-04-19,2024-04-19 08:30,2024-04-19 12:00,45,0,Textiles,Deepak Mehta,Parking available
STP-2024046,RT-109,Bandra Client Office,19.055574,72.794799,Pickup,Medium,Delayed,Driver illness,2024-03-07,2024-03-07 13:30,2024-03-07 16:30,10,370,Perishables,Manish Gupta,High security zone
STP-2024047,RT-109,Pimpri Depot,18.662873,73.758366,Warehouse,Medium,Scheduled,,2024-03-28,2024-03-28 14:30,2024-03-28 17:30,30,1815,Auto Parts,Anil Sharma,
STP-2024048,RT-109,Kharadi Hub,18.536982,73.919535,Meeting,Medium,On Time,,2024-04-24,2024-04-24 07:30,2024-04-24 10:00,45,0,Pharmaceuticals,Santosh Reddy,High security zone
STP-2024049,RT-109,Hadapsar Export Unit,18.527961,73.94049,Delivery,Low,Delayed,Vehicle breakdown,2024-04-16,2024-04-16 08:30,2024-04-16 10:30,15,1015,Auto Parts,Ramesh Kumar,Gate closes at 17:00
STP-2024050,RT-109,Vikhroli Warehouse,19.10015,72.951094,Delivery,Medium,Delayed,Weather delay,2024-04-07,2024-04-07 11:30,2024-04-07 15:30,15,687,Pharmaceuticals,Kavita Joshi,High security zone
STP-2024051,RT-110,Vikhroli Warehouse,19.10602,72.948959,Delivery,High,On Time,,2024-03-08,2024-03-08 10:00,2024-03-08 13:00,15,1566,Textiles,Santosh Reddy,High security zone
STP-2024052,RT-110,Thane Depot,19.265729,72.983436,Warehouse,Medium,On Time,,2024-03-20,2024-03-20 12:00,2024-03-20 14:00,30,1438,FMCG,Kavita Joshi,Gate closes at 17:00
STP-2024053,RT-110,Nashik Depot,20.033672,73.751209,Delivery,Medium,On Time,,2024-03-22,2024-03-22 14:00,2024-03-22 17:00,15,143,Auto Parts,Kavita Joshi,Gate closes at 17:00
STP-2024054,RT-110,Kharadi Hub,18.577944,73.954332,Meeting,High,On Time,,2024-03-20,2024-03-20 09:00,2024-03-20 13:00,45,0,Documents,Santosh Reddy,Temperature controlled
STP-2024055,RT-110,Uran Customs Terminal,18.903063,72.968809,Pickup,Medium,Delayed,Traffic congestion,2024-04-25,2024-04-25 14:30,2024-04-25 17:30,10,1950,Documents,Anil Sharma,Temperature controlled
STP-2024056,RT-111,Powai Tech Park,19.136537,72.902991,Meeting,High,On Time,,2024-03-05,2024-03-05 09:00,2024-03-05 13:00,45,0,Electronics,Anil Sharma,High security zone
STP-2024057,RT-111,Badlapur Storage,19.158256,73.272163,Delivery,Low,On Time,,2024-03-15,2024-03-15 08:30,2024-03-15 12:00,15,1870,Pharmaceuticals,Rajesh Singh,Gate closes at 17:00
STP-2024058,RT-111,Andheri Distribution Hub,19.119647,72.84578,Delivery,Medium,Delayed,Weather delay,2024-03-08,2024-03-08 11:30,2024-03-08 14:30,15,174,Textiles,Ramesh Kumar,
STP-2024059,RT-111,Panvel Port Gate,19.015027,73.11455,Delivery,Medium,Delayed,Driver illness,2024-04-13,2024-04-13 08:00,2024-04-13 10:30,15,1344,Auto Parts,Vinod Yadav,Requires forklift
STP-2024060,RT-111,Kharadi Hub,18.51196,73.909782,Pickup,Low,On Time,,2024-03-23,2024-03-23 08:30,2024-03-23 11:30,10,853,Perishables,Kavita Joshi,High security zone
STP-100001,R-018,Andheri,19.069651,72.930933,delivery,high,delayed,customer_unavailable,2025-09-14,07:00,20:00,57,245.22,pharmaceuticals,Amit Sharma,
STP-100002,R-005,Thane,19.241804,72.89029,delivery,low,pending,,2024-07-23,22:15,22:15,51,456.16,pharmaceuticals,Rahul Mehta,Handle with care
STP-100003,R-008,Panvel,19.106063,72.797423,warehouse,medium,delayed,,2024-02-04,13:30,20:45,55,209.08,furniture,Rahul Mehta,Handle with care
STP-100004,R-013,Bandra,19.099887,72.9446,warehouse,high,pending,customer_unavailable,2024-01-08,07:45,11:00,26,219.25,groceries,Priya Patel,
STP-100005,R-013,Colaba,19.092662,72.841713,pickup,high,completed,,2025-10-13,10:00,21:00,55,15.2,furniture,Priya Patel,Handle with care
STP-100006,R-002,Thane,19.011071,72.780459,delivery,medium,delayed,,2025-07-18,12:15,12:15,48,16.98,furniture,Amit Sharma,Urgent delivery
STP-100007,R-012,Vashi,19.102062,73.091233,delivery,high,delayed,,2025-07-21,12:45,21:45,39,64.64,furniture,Rahul Mehta,Urgent delivery
STP-100008,R-008,Andheri,19.038327,72.984171,pickup,low,pending,,2025-02-03,15:15,16:15,49,195.29,furniture,Vikram Singh,
STP-100009,R-003,Panvel,18.913611,72.856684,pickup,high,completed,,2024-02-06,10:00,10:00,56,122.13,electronics,Rahul Mehta,
STP-100010,R-009,Andheri,19.111872,73.08794,pickup,low,failed,customer_unavailable,2025-08-06,13:15,13:15,27,196.45,groceries,Amit Sharma,
STP-100011,R-009,Panvel,19.036304,72.947093,warehouse,high,completed,,2024-09-05,21:45,21:45,50,171.41,pharmaceuticals,Sneha Iyer,
STP-100012,R-011,Kurla,19.270406,73.023952,warehouse,high,failed,,2025-08-28,18:15,18:15,17,61.14,electronics,Priya Patel,
STP-100013,R-009,Dadar,19.25638,72.913503,delivery,low,completed,customer_unavailable,2024-12-27,21:15,21:15,36,62.86,electronics,Priya Patel,Leave at doorstep
STP-100014,R-001,Thane,19.080386,73.031953,warehouse,medium,pending,customer_unavailable,2025-08-23,08:00,11:30,35,24.14,electronics,Priya Patel,
STP-100015,R-004,Panvel,19.23375,73.090059,delivery,medium,failed,,2025-04-15,06:30,08:45,41,452.67,pharmaceuticals,Priya Patel,
STP-100016,R-008,Andheri,19.069867,72.904812,pickup,high,delayed,,2024-03-06,21:00,21:00,24,424.23,electronics,Rahul Mehta,Handle with care
STP-100017,R-001,Powai,19.085027,73.051255,warehouse,low,pending,,2024-01-07,16:00,16:00,29,329.21,furniture,Sneha Iyer,Leave at doorstep
STP-100018,R-005,Andheri,19.286696,72.827803,pickup,low,completed,,2024-04-16,17:15,20:45,35,464.0,pharmaceuticals,Vikram Singh,Leave at doorstep
STP-100019,R-012,Borivali,19.016135,72.90581,pickup,medium,failed,,2024-01-19,12:15,21:15,33,77.3,furniture,Sneha Iyer,Fragile
STP-100020,R-011,Dadar,19.192115,72.811794,pickup,low,completed,vehicle_issue,2025-10-07,07:45,08:00,60,185.32,groceries,Amit Sharma,Fragile
STP-100021,R-010,Thane,19.063205,72.919907,delivery,low,delayed,,2025-06-14,13:45,17:00,39,243.18,electronics,Rahul Mehta,Urgent delivery
STP-100022,R-004,Kurla,19.114565,72.868389,warehouse,high,pending,traffic,2024-11-24,16:00,20:30,52,366.02,pharmaceuticals,Vikram Singh,
STP-100023,R-001,Kurla,18.941097,72.808566,pickup,high,failed,,2024-04-26,13:45,13:45,57,379.21,groceries,Priya Patel,Call before arrival
STP-100024,R-002,Andheri,19.032925,72.820589,warehouse,low,pending,,2024-12-16,11:00,11:00,55,22.56,groceries,Vikram Singh,
STP-100025,R-005,Vashi,19.032862,72.840753,warehouse,high,pending,,2024-06-18,09:45,18:00,47,430.63,pharmaceuticals,Priya Patel,
STP-100026,R-015,Colaba,19.000139,72.970736,warehouse,high,delayed,,2025-11-05,08:45,22:45,26,234.18,pharmaceuticals,Amit Sharma,
STP-100027,R-015,Borivali,19.16557,72.845485,delivery,low,pending,,2025-05-14,17:30,17:30,28,321.09,electronics,Priya Patel,
STP-100028,R-015,Thane,19.128757,72.794311,warehouse,medium,failed,,2024-10-01,12:30,12:30,30,340.91,electronics,Amit Sharma,Fragile
STP-100029,R-001,Thane,18.989807,73.046749,delivery,high,completed,weather,2025-12-30,08:45,11:30,57,328.07,electronics,Amit Sharma,
STP-100030,R-019,Kurla,19.056921,72.860736,pickup,low,delayed,customer_unavailable,2024-07-08,16:00,16:00,43,279.24,pharmaceuticals,Rahul Mehta,
STP-100031,R-006,Colaba,19.153276,72.954306,delivery,medium,completed,vehicle_issue,2024-09-19,21:00,21:00,16,418.48,groceries,Sneha Iyer,Call before arrival
STP-100032,R-019,Kurla,19.289149,73.058667,warehouse,high,delayed,customer_unavailable,2025-11-04,18:15,18:15,57,484.61,pharmaceuticals,Priya Patel,
STP-100033,R-002,Vashi,19.101693,73.067086,delivery,medium,delayed,weather,2024-02-15,12:45,12:45,38,175.32,pharmaceuticals,Rahul Mehta,Urgent delivery
STP-100034,R-015,Borivali,19.272225,72.875563,warehouse,medium,delayed,,2025-04-03,21:30,21:30,28,256.47,furniture,Amit Sharma,
STP-100035,R-007,Panvel,19.228728,72.861887,pickup,high,completed,,2025-06-29,10:30,11:15,27,95.39,electronics,Sneha Iyer,
STP-100036,R-014,Bandra,19.234319,72.955982,pickup,medium,failed,,2024-01-24,18:30,18:30,20,385.04,furniture,Amit Sharma,Call before arrival
STP-100037,R-011,Powai,19.033338,73.04294,delivery,high,completed,,2025-02-08,11:45,11:45,43,300.05,electronics,Priya Patel,Handle with care
STP-100038,R-004,Andheri,19.082507,72.957411,warehouse,low,delayed,,2025-06-19,16:45,16:45,38,328.11,groceries,Vikram Singh,
STP-100039,R-015,Powai,19.080093,73.001514,pickup,low,delayed,,2024-12-19,06:45,08:30,7,330.42,groceries,Vikram Singh,
STP-100040,R-010,Andheri,18.965756,73.001235,pickup,medium,delayed,customer_unavailable,2025-07-27,17:30,17:30,20,101.39,electronics,Priya Patel,
STP-100041,R-013,Kurla,18.916154,73.061653,pickup,medium,pending,customer_unavailable,2025-04-08,18:15,18:15,53,270.89,groceries,Priya Patel,
STP-100042,R-003,Panvel,19.237761,72.770028,warehouse,high,delayed,customer_unavailable,2025-02-15,06:45,18:15,35,208.28,pharmaceuticals,Amit Sharma,Leave at doorstep
STP-100043,R-008,Powai,18.95197,72.786219,pickup,medium,completed,,2025-01-16,14:00,14:30,26,230.4,furniture,Priya Patel,Call before arrival
STP-100044,R-017,Vashi,19.244083,73.094956,warehouse,low,pending,,2024-06-01,17:15,17:15,6,104.53,groceries,Priya Patel,
STP-100045,R-001,Dadar,19.150607,72.996891,warehouse,medium,failed,,2024-10-17,09:00,17:45,43,163.69,furniture,Rahul Mehta,Handle with care
STP-100046,R-007,Thane,19.172138,73.083212,warehouse,high,failed,,2024-12-08,13:00,22:15,31,183.23,groceries,Priya Patel,
STP-100047,R-006,Colaba,19.1049,72.846089,delivery,high,completed,,2024-07-05,06:15,16:45,20,425.37,electronics,Vikram Singh,
STP-100048,R-011,Bandra,19.059106,72.845027,delivery,low,completed,,2024-11-01,06:45,12:45,40,157.02,pharmaceuticals,Vikram Singh,
STP-100049,R-013,Powai,18.956615,73.066399,pickup,low,delayed,,2024-09-21,11:00,11:00,25,463.03,electronics,Sneha Iyer,Fragile
STP-100050,R-020,Vashi,19.079212,72.945006,delivery,high,delayed,,2025-02-03,18:15,18:15,42,108.35,groceries,Rahul Mehta,Urgent delivery
STP-100051,R-002,Bandra,19.124235,72.822205,delivery,high,pending,traffic,2024-08-31,06:15,06:15,25,413.28,groceries,Rahul Mehta,
STP-100052,R-013,Colaba,19.030175,72.958403,delivery,low,pending,,2024-04-14,10:30,10:30,38,400.13,furniture,Vikram Singh,
STP-100053,R-016,Kurla,18.997609,72.833108,pickup,medium,completed,,2024-01-21,15:15,16:00,52,437.55,electronics,Rahul Mehta,
STP-100054,R-019,Dadar,18.896248,72.948734,warehouse,high,failed,,2024-11-15,17:15,17:15,28,76.04,pharmaceuticals,Priya Patel,
STP-100055,R-014,Colaba,19.26953,72.995426,delivery,medium,failed,,2025-05-08,17:15,17:15,48,257.88,groceries,Sneha Iyer,Handle with care
STP-100056,R-010,Thane,19.071131,72.802765,pickup,low,failed,,2024-04-28,22:00,22:00,36,165.85,furniture,Vikram Singh,
STP-100057,R-005,Panvel,19.290932,73.020951,delivery,low,completed,,2025-09-13,20:00,20:00,48,33.52,electronics,Amit Sharma,Handle with care
STP-100058,R-015,Powai,19.123953,72.885176,delivery,high,failed,,2024-04-16,14:00,14:00,26,443.73,groceries,Rahul Mehta,Handle with care
STP-100059,R-012,Thane,19.038339,73.007675,warehouse,low,failed,,2025-08-09,20:15,20:15,13,123.26,electronics,Amit Sharma,Call before arrival
STP-100060,R-006,Dadar,19.104776,73.086675,pickup,medium,delayed,weather,2025-06-01,18:45,18:45,22,423.65,pharmaceuticals,Sneha Iyer,
STP-100061,R-016,Kurla,19.056731,72.900474,delivery,medium,delayed,,2024-07-21,20:15,20:15,26,306.91,electronics,Sneha Iyer,Call before arrival
STP-100062,R-002,Dadar,18.916243,73.003526,warehouse,medium,pending,,2025-01-02,19:30,19:30,35,369.73,groceries,Rahul Mehta,
STP-100063,R-013,Thane,19.12967,72.949217,delivery,high,failed,,2024-05-11,08:45,18:15,17,237.76,pharmaceuticals,Sneha Iyer,Urgent delivery
STP-100064,R-016,Borivali,18.934963,72.864613,delivery,high,failed,,2025-04-05,08:45,19:45,47,225.26,furniture,Rahul Mehta,
STP-100065,R-013,Thane,18.986109,72.951007,warehouse,low,pending,,2025-08-02,06:00,16:15,52,146.28,groceries,Rahul Mehta,Call before arrival
STP-100066,R-019,Colaba,19.033619,73.004295,pickup,high,completed,,2025-02-11,07:15,21:45,24,310.43,groceries,Priya Patel,
STP-100067,R-014,Borivali,18.957081,73.076522,pickup,medium,pending,,2024-05-12,06:00,16:30,44,241.94,pharmaceuticals,Rahul Mehta,Fragile
STP-100068,R-019,Vashi,19.04943,73.070135,pickup,low,completed,,2025-03-01,06:00,08:00,46,269.74,electronics,Amit Sharma,
STP-100069,R-002,Bandra,19.237545,72.82769,warehouse,high,completed,,2025-09-21,11:45,22:30,10,378.95,electronics,Rahul Mehta,Handle with care
STP-100070,R-007,Colaba,19.171833,73.025939,warehouse,high,pending,,2024-04-27,17:00,21:30,58,282.3,pharmaceuticals,Rahul Mehta,
STP-100071,R-009,Powai,19.252276,72.934604,warehouse,low,delayed,,2024-05-16,12:30,12:30,55,236.31,pharmaceuticals,Sneha Iyer,Handle with care
STP-100072,R-006,Colaba,18.996,72.793061,pickup,high,completed,,2024-08-06,09:00,20:45,12,192.04,groceries,Sneha Iyer,Call before arrival
STP-100073,R-019,Colaba,19.12784,73.026279,warehouse,medium,pending,,2024-02-09,19:15,19:15,16,286.23,pharmaceuticals,Priya Patel,
STP-100074,R-004,Panvel,19.017388,72.864845,warehouse,low,delayed,,2025-07-27,15:30,15:30,22,492.93,electronics,Priya Patel,Call before arrival
STP-100075,R-004,Thane,19.137704,72.821419,pickup,medium,pending,traffic,2025-08-17,19:30,19:30,45,64.86,groceries,Rahul Mehta,
STP-100076,R-011,Andheri,19.030341,72.979973,warehouse,low,delayed,,2025-09-09,08:15,11:30,5,270.96,electronics,Amit Sharma,Call before arrival
STP-100077,R-010,Dadar,19.285785,73.071879,delivery,medium,failed,customer_unavailable,2024-04-02,16:30,20:00,24,402.98,electronics,Vikram Singh,
STP-100078,R-012,Kurla,19.177305,72.968698,delivery,low,failed,,2024-02-25,12:30,12:30,42,356.67,electronics,Amit Sharma,
STP-100079,R-003,Kurla,19.194883,72.856288,pickup,high,delayed,traffic,2025-03-05,16:45,22:00,60,399.65,pharmaceuticals,Priya Patel,
STP-100080,R-001,Colaba,19.090832,72.859923,delivery,medium,pending,,2024-01-15,15:00,15:00,60,184.67,furniture,Amit Sharma,
STP-100081,R-016,Borivali,18.987274,72.861154,pickup,low,pending,,2024-01-18,17:45,17:45,42,115.87,pharmaceuticals,Vikram Singh,Fragile
STP-100082,R-003,Colaba,19.166409,73.057395,pickup,low,delayed,,2024-09-20,11:00,11:00,52,170.21,electronics,Sneha Iyer,Fragile
STP-100083,R-015,Kurla,18.947737,72.858251,delivery,high,delayed,,2025-08-18,12:45,20:30,49,391.27,electronics,Amit Sharma,Handle with care
STP-100084,R-006,Powai,19.145939,72.928878,delivery,high,pending,,2025-11-15,16:45,16:45,30,231.43,groceries,Priya Patel,
STP-100085,R-020,Powai,19.013545,73.077973,delivery,high,completed,,2024-11-13,20:30,20:30,57,84.74,pharmaceuticals,Amit Sharma,
STP-100086,R-002,Kurla,19.14492,72.824252,pickup,low,failed,,2025-10-12,06:15,18:15,13,94.02,pharmaceuticals,Amit Sharma,Handle with care
STP-100087,R-015,Thane,18.906028,73.009486,delivery,low,failed,,2024-07-23,06:45,09:15,26,174.11,electronics,Sneha Iyer,Handle with care
STP-100088,R-013,Panvel,19.231675,72.786518,delivery,medium,pending,,2024-10-18,08:15,16:15,38,327.09,electronics,Sneha Iyer,
STP-100089,R-007,Panvel,19.25811,72.84299,warehouse,high,delayed,,2025-02-20,11:15,11:15,59,79.42,groceries,Amit Sharma,Urgent delivery
STP-100090,R-019,Borivali,18.959635,73.00095,pickup,low,delayed,weather,2024-06-13,06:30,07:45,37,153.17,electronics,Priya Patel,Handle with care
STP-100091,R-012,Andheri,18.910641,72.941215,delivery,low,failed,,2025-12-07,19:30,21:15,17,230.6,pharmaceuticals,Sneha Iyer,Urgent delivery
STP-100092,R-016,Borivali,19.141104,73.057434,delivery,low,pending,,2024-07-06,07:15,15:30,36,181.09,pharmaceuticals,Priya Patel,Urgent delivery
STP-100093,R-019,Panvel,19.183218,72.945557,delivery,low,pending,,2024-08-12,15:00,15:30,23,230.59,groceries,Sneha Iyer,
STP-100094,R-009,Vashi,19.177947,73.068253,delivery,medium,failed,customer_unavailable,2024-06-09,20:00,20:00,46,166.05,groceries,Vikram Singh,
STP-100095,R-015,Borivali,19.013891,72.837832,delivery,medium,completed,,2025-04-08,22:00,22:00,29,44.37,electronics,Vikram Singh,
STP-100096,R-003,Thane,19.256336,72.959088,warehouse,high,failed,,2024-11-06,08:30,18:45,43,301.07,electronics,Amit Sharma,
STP-100097,R-012,Bandra,18.955292,73.082609,pickup,high,pending,,2024-11-15,14:15,14:15,43,183.68,furniture,Sneha Iyer,Fragile
STP-100098,R-002,Dadar,19.281545,72.944921,warehouse,medium,pending,,2025-02-04,18:15,20:30,28,215.23,groceries,Vikram Singh,
STP-100099,R-017,Andheri,19.239246,73.023546,pickup,medium,failed,,2024-05-12,07:15,19:45,24,297.22,pharmaceuticals,Rahul Mehta,Call before arrival
STP-100100,R-014,Vashi,18.921847,73.044732,pickup,medium,delayed,,2024-02-09,08:45,16:45,47,112.39,furniture,Amit Sharma,
STP-100101,R-007,Thane,19.14389,72.875469,pickup,high,failed,,2024-01-19,15:15,19:45,43,112.98,pharmaceuticals,Amit Sharma,Call before arrival
STP-100102,R-006,Andheri,19.100199,73.099496,warehouse,medium,pending,,2025-01-10,12:15,20:15,41,341.27,pharmaceuticals,Amit Sharma,Fragile
