stop_id,route_id,location_name,lat,lon,stop_type,priority,status,delay_reason,scheduled_date,time_window_start,time_window_end,service_duration_min,cargo_weight_kg,cargo_type,contact_person,notes
STP-000012,RT-100,Kalyan Junction,19.2403,73.1305,Customs,Low,On Time,,2024-02-06,2024-02-06 09:00,2024-02-06 12:30,60,0,Perishables,Sunita Rao,High security zone
STP-000013,RT-100,Kurla Sorting Center,19.0728,72.8826,Pickup,Medium,On Time,,2024-03-22,2024-03-22 07:30,2024-03-22 09:30,10,693,Documents,Rajesh Singh,High security zone
STP-000014,RT-100,BKC Corporate HQ,19.0658,72.8692,Delivery,Medium,Scheduled,,2024-01-02,2024-01-02 13:00,2024-01-02 17:00,15,1425,FMCG,Manish Gupta,Call 30 min before arrival
STP-000015,RT-101,Faridabad Warehouse,28.4089,77.3178,Pickup,Medium,Cancelled,,2024-01-20,2024-01-20 13:00,2024-01-20 17:00,10,1670,FMCG,Amit Tiwari,
STP-000016,RT-101,Hadapsar Export Unit,18.5089,73.9259,Delivery,Low,On Time,,2024-03-26,2024-03-26 12:00,2024-03-26 15:30,15,1446,Electronics,Deepak Mehta,Call 30 min before arrival
STP-000017,RT-101,Gurgaon Logistics Park,28.4595,77.0266,Customs,Medium,On Time,,2024-02-09,2024-02-09 14:00,2024-02-09 17:00,60,0,FMCG,Deepak Mehta,Parking available
STP-000018,RT-101,Shamshabad Cargo,17.2403,78.4294,Delivery,High,Scheduled,,2024-03-23,2024-03-23 11:30,2024-03-23 14:30,15,246,Pharmaceuticals,Rajesh Singh,High security zone
STP-000019,RT-101,Pune Warehouse Central,18.5204,73.8567,Delivery,Medium,On Time,,2024-02-10,2024-02-10 12:30,2024-02-10 16:00,15,1190,FMCG,Vinod Yadav,Call 30 min before arrival
STP-000020,RT-101,Lonavala Transit Stop,18.7515,73.4061,Warehouse,High,Delayed,Customs hold,2024-02-25,2024-02-25 10:00,2024-02-25 13:30,30,1746,Electronics,Neha Desai,High security zone
STP-000021,RT-101,Delhi Cargo Terminal,28.5562,77.1,Pickup,Medium,On Time,,2024-03-30,2024-03-30 12:30,2024-03-30 15:00,10,1371,Auto Parts,Arjun Verma,Requires forklift
STP-000022,RT-101,Kanpur Industrial,26.4499,80.3319,Meeting,Medium,Scheduled,,2024-02-06,2024-02-06 07:00,2024-02-06 10:30,45,0,Textiles,Arjun Verma,Parking available
STP-000023,RT-101,Ghaziabad Cold Chain,28.6692,77.4538,Pickup,Medium,On Time,,2024-03-01,2024-03-01 10:00,2024-03-01 14:00,10,1369,Perishables,Santosh Reddy,Parking available
STP-000024,RT-101,Hinjewadi Tech Zone,18.5912,73.7389,Delivery,Low,On Time,,2024-02-09,2024-02-09 10:00,2024-02-09 14:00,15,104,FMCG,Kavita Joshi,Gate closes at 17:00
STP-000025,RT-101,Noida Distribution Center,28.5355,77.391,Pickup,Low,On Time,,2024-03-30,2024-03-30 10:30,2024-03-30 14:30,10,312,Perishables,Neha Desai,Call 30 min before arrival
STP-000026,RT-101,Connaught Place Hub,28.6315,77.2167,Customs,Low,On Time,,2024-01-29,2024-01-29 08:00,2024-01-29 11:30,60,0,FMCG,Amit Tiwari,Gate closes at 17:00
STP-000027,RT-101,Pimpri Depot,18.6298,73.7997,Pickup,Low,Scheduled,,2024-03-19,2024-03-19 12:30,2024-03-19 15:30,10,1533,Documents,Kavita Joshi,
STP-000028,RT-102,Faridabad Warehouse,28.4089,77.3178,Delivery,Medium,Delayed,Traffic congestion,2024-01-30,2024-01-30 09:30,2024-01-30 11:00,15,859,Auto Parts,Priya Nair,
STP-000029,RT-102,Bommanahalli Pickup,12.9133,77.6398,Pickup,Medium,On Time,,2024-03-15,2024-03-15 13:00,2024-03-15 16:30,10,1940,Pharmaceuticals,Vinod Yadav,
STP-000030,RT-102,Delhi Cargo Terminal,28.5562,77.1,Customs,Low,On Time,,2024-03-10,2024-03-10 13:00,2024-03-10 17:30,60,0,Auto Parts,Kavita Joshi,Call 30 min before arrival
STP-000031,RT-102,Peenya Industrial Depot,13.0283,77.518,Pickup,Medium,Cancelled,,2024-01-22,2024-01-22 13:30,2024-01-22 17:00,10,1103,Electronics,Amit Tiwari,
STP-000032,RT-102,Electronic City Hub,12.8399,77.677,Meeting,Medium,On Time,,2024-02-24,2024-02-24 08:00,2024-02-24 12:30,45,0,Pharmaceuticals,Deepak Mehta,Parking available
STP-000033,RT-102,Bhopal Central Depot,23.2599,77.4126,Delivery,Medium,On Time,,2024-02-23,2024-02-23 13:30,2024-02-23 16:00,15,1544,Textiles,Ramesh Kumar,Parking available
STP-000034,RT-102,Noida Distribution Center,28.5355,77.391,Delivery,High,Delayed,Vehicle breakdown,2024-02-01,2024-02-01 07:00,2024-02-01 09:00,15,268,Auto Parts,Arjun Verma,Gate closes at 17:00
STP-000035,RT-102,Yeshwanthpur Junction,13.0299,77.552,Meeting,Medium,Cancelled,,2024-01-22,2024-01-22 11:00,2024-01-22 14:00,45,0,Electronics,Santosh Reddy,Call 30 min before arrival
STP-000036,RT-102,Connaught Place Hub,28.6315,77.2167,Customs,Medium,On Time,,2024-01-26,2024-01-26 13:00,2024-01-26 16:00,60,0,Documents,Vinod Yadav,Gate closes at 17:00
STP-000037,RT-102,Whitefield Warehouse,12.9698,77.75,Warehouse,Medium,On Time,,2024-03-09,2024-03-09 07:30,2024-03-09 10:30,30,1336,Pharmaceuticals,Ramesh Kumar,
STP-000038,RT-102,Chennai Port Logistics,13.0967,80.29,Warehouse,High,On Time,,2024-02-28,2024-02-28 12:00,2024-02-28 16:30,30,1078,Perishables,Vinod Yadav,
STP-000039,RT-102,Gurgaon Logistics Park,28.4595,77.0266,Pickup,Low,Scheduled,,2024-02-01,2024-02-01 11:00,2024-02-01 14:30,10,509,Documents,Kavita Joshi,
STP-000040,RT-102,Ghaziabad Cold Chain,28.6692,77.4538,Delivery,Medium,Scheduled,,2024-03-03,2024-03-03 12:00,2024-03-03 14:30,15,707,Pharmaceuticals,Amit Tiwari,High security zone
STP-000041,RT-103,Kolkata Dock Logistics,22.5726,88.3639,Warehouse,Medium,Delayed,Weather delay,2024-02-07,2024-02-07 07:00,2024-02-07 09:30,30,1369,Textiles,Priya Nair,
STP-000042,RT-103,Dadar Warehouse,19.0178,72.8478,Meeting,Medium,On Time,,2024-03-30,2024-03-30 12:30,2024-03-30 15:30,45,0,FMCG,Suresh Patil,Temperature controlled
STP-000043,RT-103,Uppal Distribution,17.4062,78.5604,Delivery,Low,Delayed,Driver illness,2024-01-28,2024-01-28 09:30,2024-01-28 11:30,15,1084,Textiles,Vinod Yadav,Gate closes at 17:00
STP-000044,RT-103,Hinjewadi Tech Zone,18.5912,73.7389,Warehouse,Medium,On Time,,2024-02-08,2024-02-08 12:00,2024-02-08 14:00,30,121,Textiles,Vinod Yadav,Requires forklift
STP-000045,RT-103,Bhiwandi Mega Depot,19.2979,73.0586,Meeting,Low,On Time,,2024-03-14,2024-03-14 08:30,2024-03-14 10:30,45,0,Pharmaceuticals,Rajesh Singh,Call 30 min before arrival
STP-000046,RT-103,Lonavala Transit Stop,18.7515,73.4061,Delivery,Low,Delayed,Customs hold,2024-02-21,2024-02-21 08:30,2024-02-21 10:00,15,119,FMCG,Rajesh Singh,High security zone
STP-000047,RT-103,Lucknow Cargo Hub,26.8467,80.9462,Delivery,Medium,On Time,,2024-03-17,2024-03-17 13:00,2024-03-17 17:30,15,916,Pharmaceuticals,Sunita Rao,
STP-000048,RT-103,Bommanahalli Pickup,12.9133,77.6398,Delivery,Medium,Delayed,Vehicle breakdown,2024-03-21,2024-03-21 08:00,2024-03-21 10:30,15,501,FMCG,Manish Gupta,Gate closes at 17:00
STP-000049,RT-103,HITEC City Warehouse,17.4435,78.3772,Delivery,Medium,Delayed,Customs hold,2024-01-05,2024-01-05 14:00,2024-01-05 17:30,15,1770,Auto Parts,Suresh Patil,Temperature controlled
STP-000050,RT-103,Nashik Depot,19.9975,73.7898,Customs,Low,Scheduled,,2024-01-15,2024-01-15 10:00,2024-01-15 13:00,60,0,Documents,Rajesh Singh,Gate closes at 17:00
STP-000051,RT-103,Kanpur Industrial,26.4499,80.3319,Delivery,Low,Delayed,Weather delay,2024-01-16,2024-01-16 11:30,2024-01-16 14:30,15,1034,Textiles,Kavita Joshi,
STP-000052,RT-103,Nagpur Cold Chain,21.1458,79.0882,Delivery,High,On Time,,2024-02-11,2024-02-11 13:30,2024-02-11 17:00,15,1979,Perishables,Sunita Rao,Call 30 min before arrival
STP-000053,RT-103,Chandigarh Distribution,30.7333,76.7794,Rest,Medium,On Time,,2024-01-06,2024-01-06 11:00,2024-01-06 15:30,20,0,Auto Parts,Amit Tiwari,High security zone
STP-000054,RT-103,Madhavaram Depot,13.1499,80.2318,Delivery,Medium,On Time,,2024-03-01,2024-03-01 14:30,2024-03-01 16:30,15,1382,Electronics,Sunita Rao,Requires forklift
STP-000055,RT-103,Vadodara Depot,22.3072,73.1812,Delivery,Medium,On Time,,2024-02-21,2024-02-21 11:00,2024-02-21 15:30,15,526,Pharmaceuticals,Suresh Patil,
STP-000056,RT-104,Patancheru Depot,17.5334,78.2636,Meeting,Medium,Scheduled,,2024-01-27,2024-01-27 14:30,2024-01-27 16:00,45,0,Auto Parts,Amit Tiwari,
STP-000057,RT-104,Sriperumbudur Hub,12.9674,79.9482,Delivery,Low,Delayed,Traffic congestion,2024-01-21,2024-01-21 10:30,2024-01-21 14:00,15,470,Documents,Amit Tiwari,Gate closes at 17:00
STP-000058,RT-104,Ambattur Industrial,13.0978,80.1609,Pickup,High,Scheduled,,2024-02-07,2024-02-07 09:30,2024-02-07 12:30,10,977,FMCG,Kavita Joshi,Requires forklift
STP-000059,RT-104,Chennai Port Logistics,13.0967,80.29,Pickup,Low,Scheduled,,2024-02-05,2024-02-05 09:30,2024-02-05 11:30,10,1049,Pharmaceuticals,Sunita Rao,Call 30 min before arrival
STP-000060,RT-104,Madhavaram Depot,13.1499,80.2318,Delivery,Medium,On Time,,2024-02-27,2024-02-27 14:30,2024-02-27 16:30,15,1572,Textiles,Deepak Mehta,
STP-000061,RT-104,HITEC City Warehouse,17.4435,78.3772,Customs,Low,On Time,,2024-02-19,2024-02-19 10:00,2024-02-19 14:30,60,0,Perishables,Kavita Joshi,
STP-000062,RT-104,Shamshabad Cargo,17.2403,78.4294,Pickup,Medium,Scheduled,,2024-01-05,2024-01-05 09:00,2024-01-05 12:30,10,1800,Documents,Kavita Joshi,Gate closes at 17:00
STP-000063,RT-104,Uppal Distribution,17.4062,78.5604,Pickup,Medium,On Time,,2024-03-24,2024-03-24 09:00,2024-03-24 12:00,10,1994,Pharmaceuticals,Priya Nair,
STP-000064,RT-105,Dankuni Distribution,22.6748,88.2731,Meeting,Low,Scheduled,,2024-01-12,2024-01-12 10:30,2024-01-12 14:00,45,0,Perishables,Sunita Rao,Gate closes at 17:00
STP-000065,RT-105,Coimbatore Industrial,11.0168,76.9558,Pickup,Medium,On Time,,2024-02-11,2024-02-11 07:00,2024-02-11 09:30,10,892,FMCG,Anil Sharma,
STP-000066,RT-105,Salt Lake Warehouse,22.5831,88.4177,Meeting,Low,On Time,,2024-01-11,2024-01-11 09:30,2024-01-11 11:00,45,0,Textiles,Rajesh Singh,Temperature controlled
STP-000067,RT-105,Shamshabad Cargo,17.2403,78.4294,Pickup,Medium,Delayed,Vehicle breakdown,2024-01-02,2024-01-02 11:30,2024-01-02 15:30,10,161,Auto Parts,Priya Nair,High security zone
STP-000068,RT-105,Bhiwandi Mega Depot,19.2979,73.0586,Meeting,Medium,Scheduled,,2024-02-08,2024-02-08 11:00,2024-02-08 14:30,45,0,Electronics,Anil Sharma,
STP-000069,RT-105,Kolkata Dock Logistics,22.5726,88.3639,Meeting,Medium,On Time,,2024-03-25,2024-03-25 11:30,2024-03-25 13:30,45,0,Documents,Arjun Verma,Call 30 min before arrival
STP-000070,RT-105,Patancheru Depot,17.5334,78.2636,Customs,Low,Delayed,Document missing,2024-03-18,2024-03-18 11:30,2024-03-18 13:00,60,0,Pharmaceuticals,Arjun Verma,Requires forklift
STP-000071,RT-105,HITEC City Warehouse,17.4435,78.3772,Meeting,Low,Delayed,Traffic congestion,2024-02-26,2024-02-26 07:00,2024-02-26 10:30,45,0,Pharmaceuticals,Priya Nair,
STP-000072,RT-105,Howrah Industrial Hub,22.618,88.3292,Delivery,High,On Time,,2024-03-05,2024-03-05 12:30,2024-03-05 16:00,15,1698,Auto Parts,Ravi Krishnan,High security zone
STP-000073,RT-105,Uppal Distribution,17.4062,78.5604,Warehouse,Medium,Scheduled,,2024-01-10,2024-01-10 08:00,2024-01-10 11:00,30,1493,Perishables,Deepak Mehta,Parking available
STP-000074,RT-106,Bhiwandi Mega Depot,19.2979,73.0586,Warehouse,Low,Delayed,Document missing,2024-01-30,2024-01-30 08:30,2024-01-30 12:00,30,681,Textiles,Anil Sharma,Gate closes at 17:00
STP-000075,RT-106,Kochi Port Terminal,9.9312,76.2673,Meeting,Medium,On Time,,2024-02-22,2024-02-22 11:00,2024-02-22 15:00,45,0,Electronics,Vinod Yadav,
STP-000076,RT-106,Yeshwanthpur Junction,13.0299,77.552,Delivery,Medium,Delayed,Customs hold,2024-02-28,2024-02-28 09:30,2024-02-28 12:30,15,326,Auto Parts,Arjun Verma,Gate closes at 17:00
STP-000077,RT-106,Dadar Warehouse,19.0178,72.8478,Warehouse,Medium,On Time,,2024-03-29,2024-03-29 11:30,2024-03-29 13:00,30,1956,FMCG,Sunita Rao,Parking available
STP-000078,RT-106,Connaught Place Hub,28.6315,77.2167,Delivery,Medium,Cancelled,,2024-02-20,2024-02-20 12:30,2024-02-20 14:00,15,1953,Documents,Sunita Rao,
STP-000079,RT-106,Shamshabad Cargo,17.2403,78.4294,Delivery,Medium,Scheduled,,2024-02-12,2024-02-12 07:00,2024-02-12 09:00,15,430,Electronics,Sunita Rao,Temperature controlled
STP-000080,RT-106,Mulund Cold Storage,19.1726,72.9559,Meeting,Low,Scheduled,,2024-01-19,2024-01-19 10:00,2024-01-19 13:30,45,0,FMCG,Rajesh Singh,High security zone
STP-000081,RT-106,Sriperumbudur Hub,12.9674,79.9482,Warehouse,High,Delayed,Traffic congestion,2024-01-02,2024-01-02 07:30,2024-01-02 09:00,30,366,Pharmaceuticals,Ramesh Kumar,Requires forklift
STP-000082,RT-106,Electronic City Hub,12.8399,77.677,Warehouse,Medium,On Time,,2024-02-27,2024-02-27 08:30,2024-02-27 11:00,30,463,Textiles,Ramesh Kumar,High security zone
STP-000083,RT-106,Jaipur Logistics Park,26.9124,75.7873,Pickup,Low,On Time,,2024-02-21,2024-02-21 07:30,2024-02-21 10:00,10,1873,Auto Parts,Suresh Patil,Gate closes at 17:00
STP-000084,RT-106,Agra Distribution,27.1767,78.0081,Delivery,High,Cancelled,,2024-03-20,2024-03-20 09:30,2024-03-20 12:30,15,1096,Pharmaceuticals,Kavita Joshi,
STP-000085,RT-106,Bhubaneswar Depot,20.2961,85.8245,Delivery,Low,On Time,,2024-02-27,2024-02-27 10:00,2024-02-27 13:30,15,938,Auto Parts,Deepak Mehta,Gate closes at 17:00
STP-000086,RT-106,Indore Logistics Hub,22.7196,75.8577,Delivery,Medium,On Time,,2024-01-20,2024-01-20 11:30,2024-01-20 14:00,15,184,Electronics,Deepak Mehta,Gate closes at 17:00
STP-000087,RT-106,Dankuni Distribution,22.6748,88.2731,Warehouse,Medium,On Time,,2024-01-08,2024-01-08 09:30,2024-01-08 13:00,30,1799,Perishables,Ravi Krishnan,
STP-000088,RT-106,Peenya Industrial Depot,13.0283,77.518,Customs,Low,Delayed,Vehicle breakdown,2024-02-09,2024-02-09 11:30,2024-02-09 15:00,60,0,FMCG,Arjun Verma,
STP-000089,RT-107,Chandigarh Distribution,30.7333,76.7794,Delivery,Low,Scheduled,,2024-02-14,2024-02-14 11:00,2024-02-14 14:00,15,1169,Perishables,Deepak Mehta,Gate closes at 17:00
STP-000090,RT-107,Agra Distribution,27.1767,78.0081,Delivery,Medium,On Time,,2024-03-08,2024-03-08 07:00,2024-03-08 09:30,15,708,FMCG,Priya Nair,High security zone
STP-000091,RT-107,Kurla Sorting Center,19.0728,72.8826,Warehouse,Low,Delayed,Weather delay,2024-01-20,2024-01-20 08:00,2024-01-20 10:00,30,917,Perishables,Deepak Mehta,
STP-000092,RT-107,Surat Textile Hub,21.1702,72.8311,Meeting,Medium,On Time,,2024-01-15,2024-01-15 10:30,2024-01-15 14:30,45,0,Perishables,Arjun Verma,
STP-000093,RT-107,Jaipur Logistics Park,26.9124,75.7873,Pickup,Medium,On Time,,2024-03-17,2024-03-17 10:00,2024-03-17 13:00,10,1946,FMCG,Ravi Krishnan,Requires forklift
STP-000094,RT-107,Lucknow Cargo Hub,26.8467,80.9462,Warehouse,Medium,On Time,,2024-03-04,2024-03-04 08:30,2024-03-04 10:00,30,1100,Perishables,Anil Sharma,Parking available
STP-000095,RT-107,Pimpri Depot,18.6298,73.7997,Delivery,Low,Scheduled,,2024-01-03,2024-01-03 07:30,2024-01-03 10:00,15,1189,Auto Parts,Santosh Reddy,
STP-000096,RT-107,Rajkot Warehouse,22.3039,70.8022,Warehouse,Medium,Scheduled,,2024-01-03,2024-01-03 08:30,2024-01-03 11:00,30,1275,Auto Parts,Sunita Rao,Parking available
STP-000097,RT-107,Ahmedabad GIDC,23.0225,72.5714,Delivery,Low,On Time,,2024-03-16,2024-03-16 10:30,2024-03-16 13:00,15,645,Perishables,Priya Nair,Temperature controlled
STP-000098,RT-107,Vadodara Depot,22.3072,73.1812,Delivery,High,On Time,,2024-03-06,2024-03-06 08:00,2024-03-06 12:30,15,1972,Documents,Arjun Verma,Requires forklift
STP-000099,RT-107,Kanpur Industrial,26.4499,80.3319,Delivery,High,On Time,,2024-03-18,2024-03-18 10:00,2024-03-18 12:00,15,1592,Perishables,Kavita Joshi,
STP-000100,RT-107,Ludhiana Warehouse,30.901,75.8573,Warehouse,Low,On Time,,2024-03-13,2024-03-13 14:30,2024-03-13 18:30,30,149,Auto Parts,Kavita Joshi,High security zone
STP-000101,RT-108,Agra Distribution,27.1767,78.0081,Pickup,Medium,Delayed,Driver illness,2024-03-17,2024-03-17 08:30,2024-03-17 12:30,10,1523,Electronics,Kavita Joshi,Temperature controlled
STP-000102,RT-108,Jaipur Logistics Park,26.9124,75.7873,Delivery,Medium,Cancelled,,2024-02-27,2024-02-27 09:00,2024-02-27 11:30,15,182,Textiles,Arjun Verma,Requires forklift
STP-000103,RT-108,Kanpur Industrial,26.4499,80.3319,Delivery,Low,On Time,,2024-03-07,2024-03-07 14:00,2024-03-07 18:30,15,589,Auto Parts,Deepak Mehta,Parking available
STP-000104,RT-108,Visakhapatnam Port,17.6868,83.2185,Meeting,High,On Time,,2024-02-12,2024-02-12 12:00,2024-02-12 14:30,45,0,Perishables,Sunita Rao,Requires forklift
STP-000105,RT-108,Madurai Warehouse,9.9252,78.1198,Delivery,Medium,Delayed,Traffic congestion,2024-02-09,2024-02-09 09:30,2024-02-09 12:00,15,644,Textiles,Deepak Mehta,Parking available
STP-000106,RT-108,Ludhiana Warehouse,30.901,75.8573,Warehouse,Medium,On Time,,2024-03-26,2024-03-26 08:30,2024-03-26 12:30,30,642,FMCG,Anil Sharma,Parking available
STP-000107,RT-108,Lucknow Cargo Hub,26.8467,80.9462,Customs,Medium,Scheduled,,2024-01-20,2024-01-20 10:00,2024-01-20 12:30,60,0,Electronics,Manish Gupta,Call 30 min before arrival
STP-000108,RT-108,Chandigarh Distribution,30.7333,76.7794,Meeting,Low,On Time,,2024-02-18,2024-02-18 09:00,2024-02-18 13:00,45,0,Perishables,Ravi Krishnan,Requires forklift
STP-000109,RT-108,Kochi Port Terminal,9.9312,76.2673,Warehouse,High,Scheduled,,2024-01-31,2024-01-31 12:30,2024-01-31 16:30,30,1615,Auto Parts,Anil Sharma,Temperature controlled
STP-000110,RT-108,Coimbatore Industrial,11.0168,76.9558,Delivery,Low,Scheduled,,2024-02-17,2024-02-17 14:30,2024-02-17 16:30,15,1603,Auto Parts,Manish Gupta,
STP-000111,RT-109,Aurangabad Hub,19.8762,75.3433,Warehouse,Low,Scheduled,,2024-01-21,2024-01-21 11:30,2024-01-21 13:30,30,311,Documents,Deepak Mehta,Gate closes at 17:00
STP-000112,RT-109,Kalyan Junction,19.2403,73.1305,Customs,Medium,On Time,,2024-01-04,2024-01-04 14:30,2024-01-04 17:00,60,0,Pharmaceuticals,Anil Sharma,
STP-000113,RT-109,Visakhapatnam Port,17.6868,83.2185,Rest,Medium,On Time,,2024-01-13,2024-01-13 07:30,2024-01-13 10:00,20,0,Pharmaceuticals,Amit Tiwari,
STP-000114,RT-109,Hinjewadi Tech Zone,18.5912,73.7389,Meeting,High,On Time,,2024-03-19,2024-03-19 14:00,2024-03-19 17:00,45,0,FMCG,Sunita Rao,Requires forklift
STP-000115,RT-109,Madurai Warehouse,9.9252,78.1198,Pickup,Low,On Time,,2024-02-06,2024-02-06 13:00,2024-02-06 15:30,10,498,Auto Parts,Arjun Verma,
STP-000116,RT-109,Salt Lake Warehouse,22.5831,88.4177,Delivery,Low,Delayed,Weather delay,2024-03-09,2024-03-09 14:00,2024-03-09 18:00,15,889,Electronics,Santosh Reddy,Parking available
STP-000117,RT-109,Panvel Port Gate,18.9894,73.1175,Delivery,Medium,On Time,,2024-02-16,2024-02-16 08:00,2024-02-16 12:00,15,972,Electronics,Arjun Verma,
STP-000118,RT-109,Guwahati North Hub,26.1445,91.7362,Rest,Medium,Delayed,Customs hold,2024-01-09,2024-01-09 07:30,2024-01-09 10:00,20,0,Electronics,Ravi Krishnan,Parking available
STP-000119,RT-109,Connaught Place Hub,28.6315,77.2167,Delivery,Medium,Delayed,Driver illness,2024-01-23,2024-01-23 12:30,2024-01-23 16:30,15,286,Electronics,Neha Desai,
STP-000120,RT-109,Thane Depot,19.2183,72.9781,Delivery,Medium,Cancelled,,2024-02-10,2024-02-10 10:30,2024-02-10 12:30,15,1122,Auto Parts,Vinod Yadav,Call 30 min before arrival
STP-000121,RT-109,Vadodara Depot,22.3072,73.1812,Warehouse,High,On Time,,2024-03-24,2024-03-24 12:30,2024-03-24 14:30,30,763,Auto Parts,Amit Tiwari,
STP-000122,RT-109,Madhavaram Depot,13.1499,80.2318,Warehouse,Low,On Time,,2024-01-24,2024-01-24 13:30,2024-01-24 16:30,30,1642,Textiles,Vinod Yadav,Gate closes at 17:00
STP-000123,RT-109,Electronic City Hub,12.8399,77.677,Warehouse,High,On Time,,2024-02-07,2024-02-07 09:30,2024-02-07 13:00,30,1363,Pharmaceuticals,Vinod Yadav,
STP-000124,RT-109,Kolkata Dock Logistics,22.5726,88.3639,Meeting,Medium,Delayed,Customer not available,2024-02-27,2024-02-27 14:00,2024-02-27 17:30,45,0,Pharmaceuticals,Arjun Verma,Call 30 min before arrival
STP-000125,RT-109,Kurla Sorting Center,19.0728,72.8826,Delivery,Medium,On Time,,2024-03-27,2024-03-27 12:00,2024-03-27 16:00,15,1254,Perishables,Ravi Krishnan,
STP-000126,RT-109,Ludhiana Warehouse,30.901,75.8573,Delivery,High,Delayed,Weather delay,2024-02-19,2024-02-19 12:00,2024-02-19 15:00,15,771,Auto Parts,Ravi Krishnan,Gate closes at 17:00
STP-000127,RT-110,Nashik Depot,19.9975,73.7898,Delivery,High,On Time,,2024-03-07,2024-03-07 09:30,2024-03-07 12:00,15,543,Perishables,Kavita Joshi,Temperature controlled
STP-000128,RT-110,Guwahati North Hub,26.1445,91.7362,Rest,Medium,On Time,,2024-01-16,2024-01-16 14:00,2024-01-16 16:00,20,0,Perishables,Kavita Joshi,Gate closes at 17:00
STP-000129,RT-110,Indore Logistics Hub,22.7196,75.8577,Warehouse,Low,Scheduled,,2024-02-14,2024-02-14 12:00,2024-02-14 16:30,30,1753,FMCG,Neha Desai,Requires forklift
STP-000130,RT-110,Ranchi Distribution,23.3441,85.3096,Warehouse,Medium,On Time,,2024-01-18,2024-01-18 08:00,2024-01-18 10:30,30,1144,Textiles,Priya Nair,
STP-000131,RT-110,Aurangabad Hub,19.8762,75.3433,Warehouse,Medium,On Time,,2024-02-09,2024-02-09 08:30,2024-02-09 10:30,30,1585,Auto Parts,Sunita Rao,Gate closes at 17:00
STP-000132,RT-110,Raipur Warehouse,21.2514,81.6296,Delivery,Medium,Scheduled,,2024-02-29,2024-02-29 08:30,2024-02-29 11:00,15,1607,Textiles,Arjun Verma,Requires forklift
STP-000133,RT-111,Coimbatore Industrial,11.0168,76.9558,Delivery,Low,On Time,,2024-03-21,2024-03-21 11:30,2024-03-21 13:00,15,355,Textiles,Santosh Reddy,Requires forklift
STP-000134,RT-111,Aurangabad Hub,19.8762,75.3433,Delivery,Medium,On Time,,2024-01-06,2024-01-06 12:00,2024-01-06 16:00,15,1323,Documents,Santosh Reddy,High security zone
STP-000135,RT-111,Panvel Port Gate,18.9894,73.1175,Meeting,Low,Scheduled,,2024-03-22,2024-03-22 13:00,2024-03-22 17:30,45,0,Textiles,Vinod Yadav,High security zone
STP-000136,RT-111,Chennai Port Logistics,13.0967,80.29,Pickup,Low,On Time,,2024-02-28,2024-02-28 13:00,2024-02-28 16:00,10,861,Auto Parts,Kavita Joshi,Temperature controlled
